Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredient Name,Ingredient Category,Ingredient In Stock
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Green Chilies,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Salt,Others,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Carrot,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Beans,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Cauliflower,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Green peas,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Potato,Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Tomato (Kagome),Vegetables,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Paneer,Dairy,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Garam Masala,Spices,Yes
Yakani pulav,Indian,Lunch,,Medium,Planned,✅ Available,,,https://youtu.be/wnTwfl6BuaI?si=jfDSwoWbrM1o4vLo,Ghee,Oils and sauces,Yes
